Name, Entropy, C Size, Number of Threads, Elements Per Second, Total Time
Parallel Merge Sort using Serial Merge, 32, 1000, 11, 3748930, 0.00026674271794036031
Parallel Merge Sort using Serial Merge Branchless, 32, 1000, 11, 3998764, 0.00025007725344039500
Parallel Merge Sort using Bitonic Merge, 32, 1000, 11, 3996097, 0.00025024413480423391
Parallel Merge Sort using Serial Merge, 28, 1000, 22, 1388658, 0.00072011945303529501
Parallel Merge Sort using Serial Merge Branchless, 28, 1000, 22, 1744936, 0.00057308672694489360
Parallel Merge Sort using Bitonic Merge, 28, 1000, 22, 1757365, 0.00056903361110016704
Parallel Merge Sort using Serial Merge, 32, 1000, 22, 1882457, 0.00053122045937925577
Parallel Merge Sort using Serial Merge Branchless, 32, 1000, 22, 1941178, 0.00051515101222321391
Parallel Merge Sort using Bitonic Merge, 32, 1000, 22, 1941088, 0.00051517487736418843
Parallel Merge Sort using Serial Merge, 28, 1000, 32, 1384898, 0.00072207453195005655
Parallel Merge Sort using Serial Merge Branchless, 28, 1000, 32, 1429990, 0.00069930555764585733
Parallel Merge Sort using Bitonic Merge, 28, 1000, 32, 1436110, 0.00069632532540708780
Parallel Merge Sort using Serial Merge, 32, 1000, 32, 1583533, 0.00063149927882477641
Parallel Merge Sort using Serial Merge Branchless, 32, 1000, 32, 1614435, 0.00061941146850585938
Parallel Merge Sort using Bitonic Merge, 32, 1000, 32, 1606274, 0.00062255858210846782
Parallel Merge Sort using Serial Merge, 28, 1000, 36, 849341, 0.00117738242261111736
Parallel Merge Sort using Serial Merge Branchless, 28, 1000, 36, 742709, 0.00134642119519412518
Parallel Merge Sort using Bitonic Merge, 28, 1000, 36, 887833, 0.00112633709795773029
Parallel Merge Sort using Serial Merge, 32, 1000, 36, 1054640, 0.00094819068908691406
Parallel Merge Sort using Serial Merge Branchless, 32, 1000, 36, 1074140, 0.00093097687931731343
Parallel Merge Sort using Bitonic Merge, 32, 1000, 36, 1066601, 0.00093755719717592001
Parallel Merge Sort using Serial Merge, 28, 1000, 68, 448771, 0.00222830777056515217
Parallel Merge Sort using Serial Merge Branchless, 28, 1000, 68, 463392, 0.00215799803845584393
Parallel Merge Sort using Bitonic Merge, 28, 1000, 68, 403783, 0.00247657299041748047
Parallel Merge Sort using Serial Merge, 32, 1000, 68, 462829, 0.00216062064282596111
Parallel Merge Sort using Serial Merge Branchless, 32, 1000, 68, 421216, 0.00237407675012946129
Parallel Merge Sort using Bitonic Merge, 32, 1000, 68, 440642, 0.00226941099390387535
Parallel Merge Sort using Serial Merge, 28, 1000, 72, 451587, 0.00221440801396965981
Parallel Merge Sort using Serial Merge Branchless, 28, 1000, 72, 455605, 0.00219488143920898438
Parallel Merge Sort using Bitonic Merge, 28, 1000, 72, 460801, 0.00217013363726437092
Parallel Merge Sort using Serial Merge, 32, 1000, 72, 483560, 0.00206799502484500408
Parallel Merge Sort using Serial Merge Branchless, 32, 1000, 72, 488158, 0.00204851618036627769
Parallel Merge Sort using Bitonic Merge, 32, 1000, 72, 478054, 0.00209181313402950764
