Name,Entropy,C Size,Elements Per Second,Total Time
AVX-512 Hybrid Merge Sort,20,524288,8489552,0.06175684928894042969
Intel IPP Sort,20,524288,3460662,0.15149931609630584717
Quick Sort,20,524288,1432226,0.36606508493423461914
Merge Sort Standard,24,524288,2437619,0.21508201956748962402
SSE Bitonic Based Merge Sort,24,524288,2708960,0.19353845715522766113
AVX-512 Merge Path Based Sort,24,524288,2632790,0.19913776218891143799
AVX-512 Hybrid Merge Sort,24,524288,8502850,0.06166026741266250610
Intel IPP Sort,24,524288,3444959,0.15218988060951232910
Quick Sort,24,524288,1432047,0.36611074209213256836
Merge Sort Standard,28,524288,2438104,0.21503922343254089355
SSE Bitonic Based Merge Sort,28,524288,2710012,0.19346332550048828125
AVX-512 Merge Path Based Sort,28,524288,2643171,0.19835564494132995605
AVX-512 Hybrid Merge Sort,28,524288,8532166,0.06144840642809867859
Intel IPP Sort,28,524288,3442433,0.15230157971382141113
Quick Sort,28,524288,1432211,0.36606878042221069336
Merge Sort Standard,4,1048576,2465260,0.42534089088439941406
SSE Bitonic Based Merge Sort,4,1048576,2865122,0.36597949266433715820
AVX-512 Merge Path Based Sort,4,1048576,2805292,0.37378495931625366211
AVX-512 Hybrid Merge Sort,4,1048576,8527629,0.12296219170093536377
Intel IPP Sort,4,1048576,17692366,0.05926714092493057251
Quick Sort,4,1048576,1578295,0.66437256336212158203
Merge Sort Standard,8,1048576,2373301,0.44182166457176208496
SSE Bitonic Based Merge Sort,8,1048576,2716962,0.38593691587448120117
AVX-512 Merge Path Based Sort,8,1048576,2755729,0.38050755858421325684
AVX-512 Hybrid Merge Sort,8,1048576,8258660,0.12696683406829833984
Intel IPP Sort,8,1048576,8528807,0.12294521182775497437
Quick Sort,8,1048576,1463967,0.71625614166259765625
Merge Sort Standard,12,1048576,2370477,0.44234800338745117188
SSE Bitonic Based Merge Sort,12,1048576,2676545,0.39176470041275024414
AVX-512 Merge Path Based Sort,12,1048576,2685811,0.39041310548782348633
AVX-512 Hybrid Merge Sort,12,1048576,8046085,0.13032126426696777344
Intel IPP Sort,12,1048576,5639214,0.18594363331794738770
Quick Sort,12,1048576,1420430,0.73820978403091430664
Merge Sort Standard,16,1048576,2370775,0.44229245185852050781
SSE Bitonic Based Merge Sort,16,1048576,2650547,0.39560732245445251465
AVX-512 Merge Path Based Sort,16,1048576,2687021,0.39023736119270324707
AVX-512 Hybrid Merge Sort,16,1048576,7730068,0.13564899563789367676
Intel IPP Sort,16,1048576,4135318,0.25356596708297729492
Quick Sort,16,1048576,1383069,0.75815111398696899414
Merge Sort Standard,20,1048576,2369764,0.44248113036155700684
SSE Bitonic Based Merge Sort,20,1048576,2648004,0.39598721265792846680
AVX-512 Merge Path Based Sort,20,1048576,2685447,0.39046603441238403320
AVX-512 Hybrid Merge Sort,20,1048576,7741574,0.13544738292694091797
Intel IPP Sort,20,1048576,3306017,0.31717199087142944336
Quick Sort,20,1048576,1367019,0.76705282926559448242
Merge Sort Standard,24,1048576,2369645,0.44250330328941345215
SSE Bitonic Based Merge Sort,24,1048576,2648008,0.39598661661148071289
AVX-512 Merge Path Based Sort,24,1048576,2690709,0.38970249891281127930
AVX-512 Hybrid Merge Sort,24,1048576,7742803,0.13542589545249938965
Intel IPP Sort,24,1048576,3267079,0.32095211744308471680
Quick Sort,24,1048576,1366886,0.76712715625762939453
Merge Sort Standard,28,1048576,2370417,0.44235914945602416992
SSE Bitonic Based Merge Sort,28,1048576,2648565,0.39590337872505187988
AVX-512 Merge Path Based Sort,28,1048576,2696114,0.38892120122909545898
AVX-512 Hybrid Merge Sort,28,1048576,7752612,0.13525453209877014160
Intel IPP Sort,28,1048576,3267441,0.32091653347015380859
Quick Sort,28,1048576,1367019,0.76705282926559448242
Merge Sort Standard,4,2097152,2392456,0.87656861543655395508
SSE Bitonic Based Merge Sort,4,2097152,2802589,0.74829077720642089844
AVX-512 Merge Path Based Sort,4,2097152,2733816,0.76711517572402954102
AVX-512 Hybrid Merge Sort,4,2097152,7812619,0.26843136548995971680
Intel IPP Sort,4,2097152,17762912,0.11806352436542510986
Quick Sort,4,2097152,1512944,1.38613963127136230469
Merge Sort Standard,8,2097152,2302113,0.91096818447113037109
SSE Bitonic Based Merge Sort,8,2097152,2656161,0.78954249620437622070
AVX-512 Merge Path Based Sort,8,2097152,2681107,0.78219616413116455078
AVX-512 Hybrid Merge Sort,8,2097152,7390673,0.28375655412673950195
Intel IPP Sort,8,2097152,8545031,0.24542355537414550781
Quick Sort,8,2097152,1404569,1.49309217929840087891
Merge Sort Standard,12,2097152,2299331,0.91207045316696166992
SSE Bitonic Based Merge Sort,12,2097152,2617244,0.80128240585327148438
AVX-512 Merge Path Based Sort,12,2097152,2603282,0.80558001995086669922
AVX-512 Hybrid Merge Sort,12,2097152,7177112,0.29219996929168701172
Intel IPP Sort,12,2097152,5634855,0.37217494845390319824
Quick Sort,12,2097152,1363785,1.53774380683898925781
Merge Sort Standard,16,2097152,2299876,0.91185438632965087891
SSE Bitonic Based Merge Sort,16,2097152,2587256,0.81056976318359375000
AVX-512 Merge Path Based Sort,16,2097152,2595699,0.80793333053588867188
AVX-512 Hybrid Merge Sort,16,2097152,6877424,0.30493277311325073242
Intel IPP Sort,16,2097152,4152139,0.50507748126983642578
Quick Sort,16,2097152,1328540,1.57853817939758300781
Merge Sort Standard,20,2097152,2299417,0.91203612089157104492
SSE Bitonic Based Merge Sort,20,2097152,2581878,0.81225812435150146484
AVX-512 Merge Path Based Sort,20,2097152,2595136,0.80810862779617309570
AVX-512 Hybrid Merge Sort,20,2097152,6857054,0.30583861470222473145
Intel IPP Sort,20,2097152,3192873,0.65682280063629150391
Quick Sort,20,2097152,1306639,1.60499703884124755859
Merge Sort Standard,24,2097152,2300048,0.91178607940673828125
SSE Bitonic Based Merge Sort,24,2097152,2582638,0.81201934814453125000
AVX-512 Merge Path Based Sort,24,2097152,2599375,0.80679070949554443359
AVX-512 Hybrid Merge Sort,24,2097152,6781485,0.30924668908119201660
Intel IPP Sort,24,2097152,3116241,0.67297476530075073242
Quick Sort,24,2097152,1306097,1.60566329956054687500
Merge Sort Standard,28,2097152,2299549,0.91198384761810302734
SSE Bitonic Based Merge Sort,28,2097152,2583522,0.81174123287200927734
AVX-512 Merge Path Based Sort,28,2097152,2599394,0.80678474903106689453
AVX-512 Hybrid Merge Sort,28,2097152,6785090,0.30908241868019104004
Intel IPP Sort,28,2097152,3111009,0.67410671710968017578
Quick Sort,28,2097152,1305855,1.60596060752868652344
Merge Sort Standard,4,4194304,2330499,1.79974436759948730469
SSE Bitonic Based Merge Sort,4,4194304,2748371,1.52610528469085693359
AVX-512 Merge Path Based Sort,4,4194304,2686740,1.56111252307891845703
AVX-512 Hybrid Merge Sort,4,4194304,7328007,0.57236623764038085938
Intel IPP Sort,4,4194304,17909332,0.23419657349586486816
Quick Sort,4,4194304,1452010,2.88861799240112304688
Merge Sort Standard,8,4194304,2240682,1.87188684940338134766
SSE Bitonic Based Merge Sort,8,4194304,2605479,1.60980105400085449219
AVX-512 Merge Path Based Sort,8,4194304,2612501,1.60547423362731933594
AVX-512 Hybrid Merge Sort,8,4194304,6805914,0.61627340316772460938
Intel IPP Sort,8,4194304,8519468,0.49231997132301330566
Quick Sort,8,4194304,1348771,3.10972213745117187500
Merge Sort Standard,12,4194304,2237749,1.87434041500091552734
SSE Bitonic Based Merge Sort,12,4194304,2568681,1.63286244869232177734
AVX-512 Merge Path Based Sort,12,4194304,2542963,1.64937627315521240234
AVX-512 Hybrid Merge Sort,12,4194304,6528151,0.64249491691589355469
Intel IPP Sort,12,4194304,5622014,0.74605000019073486328
Quick Sort,12,4194304,1311038,3.19922327995300292969
Merge Sort Standard,16,4194304,2237264,1.87474656105041503906
SSE Bitonic Based Merge Sort,16,4194304,2535689,1.65410804748535156250
