Name,Entropy,A Size,B Size,Number of Threads,Elements Per Second,Total Time
AVX-512 Merge Path Based Parallel Merge,8,131072,131072,2,311035808,0.00084280967712402344
AVX-512 Merge Path Based Parallel Merge,8,131072,131072,4,738522048,0.00035495759220793843
AVX-512 Merge Path Based Parallel Merge,8,131072,131072,8,1283876224,0.00020418167696334422
AVX-512 Merge Path Based Parallel Merge,8,131072,131072,16,1358427904,0.00019297600374557078
AVX-512 Merge Path Based Parallel Merge,8,131072,131072,32,1809597824,0.00014486312284134328
AVX-512 Merge Path Based Parallel Merge,8,131072,131072,64,1622656000,0.00016155242337845266
AVX-512 Merge Path Based Parallel Merge,8,131072,131072,128,839706432,0.00031218529329635203
AVX-512 Merge Path Based Parallel Merge,8,131072,131072,256,227632720,0.00115160946734249592
AVX-512 Merge Path Based Parallel Merge,12,131072,131072,2,280731136,0.00093379023019224405
AVX-512 Merge Path Based Parallel Merge,12,131072,131072,4,739316608,0.00035457609919831157
AVX-512 Merge Path Based Parallel Merge,12,131072,131072,8,1309566080,0.00020017623319290578
AVX-512 Merge Path Based Parallel Merge,12,131072,131072,16,1766000128,0.00014843940152786672
AVX-512 Merge Path Based Parallel Merge,12,131072,131072,32,1702557568,0.00015397071547340602
AVX-512 Merge Path Based Parallel Merge,12,131072,131072,64,1991868928,0.00013160705566406250
AVX-512 Merge Path Based Parallel Merge,12,131072,131072,128,977517376,0.00026817322941496968
AVX-512 Merge Path Based Parallel Merge,12,131072,131072,256,336653888,0.00077867507934570312
AVX-512 Merge Path Based Parallel Merge,16,131072,131072,2,277682496,0.00094404222909361124
AVX-512 Merge Path Based Parallel Merge,16,131072,131072,4,642088064,0.00040826798067428172
AVX-512 Merge Path Based Parallel Merge,16,131072,131072,8,1199031168,0.00021862983703613281
AVX-512 Merge Path Based Parallel Merge,16,131072,131072,16,1810193536,0.00014481545076705515
AVX-512 Merge Path Based Parallel Merge,16,131072,131072,32,-2147483648,0.00011143684241687879
AVX-512 Merge Path Based Parallel Merge,16,131072,131072,64,1996208512,0.00013132095045875758
AVX-512 Merge Path Based Parallel Merge,16,131072,131072,128,958096576,0.00027360915555618703
AVX-512 Merge Path Based Parallel Merge,16,131072,131072,256,257364256,0.00101857190020382404
AVX-512 Merge Path Based Parallel Merge,20,131072,131072,2,294601472,0.00088982580928131938
AVX-512 Merge Path Based Parallel Merge,20,131072,131072,4,773759040,0.00033879280090332031
AVX-512 Merge Path Based Parallel Merge,20,131072,131072,8,1094694912,0.00023946762667037547
AVX-512 Merge Path Based Parallel Merge,20,131072,131072,16,1823402368,0.00014376640319824219
AVX-512 Merge Path Based Parallel Merge,20,131072,131072,32,-2147483648,0.00011076927330577746
AVX-512 Merge Path Based Parallel Merge,20,131072,131072,64,2095106048,0.00012512206740211695
AVX-512 Merge Path Based Parallel Merge,20,131072,131072,128,932896384,0.00028100013150833547
AVX-512 Merge Path Based Parallel Merge,20,131072,131072,256,320725632,0.00081734656123444438
AVX-512 Merge Path Based Parallel Merge,24,131072,131072,2,292625664,0.00089583394583314657
AVX-512 Merge Path Based Parallel Merge,24,131072,131072,4,688658176,0.00038065909757278860
