Name, Entropy, C Size, Number of Threads, Elements Per Second, Total Time
Parallel Merge Sort using Bitonic Merge, 32, 100000, 32, -2147483648, 0.00000000000000000000
Parallel Merge Sort using Serial Merge, 32, 100000, 36, 16762693, 0.00596562866121530533
Parallel Merge Sort using Serial Merge Branchless, 32, 100000, 36, 20687622, 0.00483380816876888275
Parallel Merge Sort using Bitonic Merge, 32, 100000, 36, -2147483648, 0.00000000000000000000
Parallel Merge Sort using Serial Merge, 32, 100000, 68, 13309091, 0.00751366140320897102
Parallel Merge Sort using Serial Merge Branchless, 32, 100000, 68, 16384601, 0.00610329164192080498
Parallel Merge Sort using Bitonic Merge, 32, 100000, 68, -2147483648, 0.00000000000000000000
Parallel Merge Sort using Serial Merge, 32, 100000, 72, 13145734, 0.00760703068226575851
Parallel Merge Sort using Serial Merge Branchless, 32, 100000, 72, 16204385, 0.00617116922512650490
Parallel Merge Sort using Bitonic Merge, 32, 100000, 72, -2147483648, 0.00000000000000000000
